Sales_ID,Item_ID,Outlet_ID,Sales
1,FDX32,OUT049,145.4786
2,NCB42,OUT018,115.3492
3,FDR28,OUT046,165.021
4,FDL50,OUT013,126.5046
5,DRI25,OUT045,55.1614
6,FDS52,OUT017,102.4016
7,NCU05,OUT010,81.4618
8,NCD30,OUT045,96.0726
9,FDW20,OUT013,124.173
10,FDX25,OUT027,181.9292
11,FDX21,OUT027,109.8912
12,NCU41,OUT035,192.1846
13,FDL20,OUT018,112.3886
14,NCR54,OUT013,195.211
15,FDH19,OUT027,173.1738
16,FDB57,OUT035,222.1772
17,FDO23,OUT018,93.7436
18,NCB07,OUT049,197.611
19,FDJ56,OUT027,98.77
20,DRN47,OUT018,178.566
21,FDZ07,OUT027,60.2194
22,NCK31,OUT027,50.9666
23,FDJ41,OUT018,261.6594
24,DRI51,OUT018,173.1764
25,FDC40,OUT017,76.1986
26,FDB53,OUT017,150.2392
27,FDA16,OUT035,221.9456
28,FDO19,OUT027,47.4034
29,FDO04,OUT046,57.2614
30,FDL25,OUT049,93.1804
31,NCJ30,OUT046,167.779
32,NCQ41,OUT013,196.3794
33,DRJ35,OUT013,59.9878
34,NCE31,OUT013,35.4216
35,FDY09,OUT017,174.3054
36,FDZ04,OUT013,61.651
37,FDY07,OUT045,46.8402
38,FDO45,OUT045,88.6856
39,FDB09,OUT049,126.2046
40,FDP51,OUT046,119.6124
41,FDT50,OUT013,95.6752
42,FDQ08,OUT027,62.9536
43,DRL11,OUT045,159.0946
44,FDT34,OUT049,104.2964
45,FDP01,OUT010,150.5682
46,NCJ31,OUT013,239.2196
47,NCL30,OUT035,127.3336
48,FDF04,OUT049,256.3304
49,NCZ42,OUT049,235.5248
50,FDG24,OUT049,82.425
51,FDV49,OUT049,264.6226
52,FDX01,OUT049,114.915
53,DRF27,OUT049,152.234
54,FDF16,OUT049,147.2076
55,FDU04,OUT049,122.1414
56,FDP04,OUT049,62.7168
57,FDD05,OUT049,120.9098
58,FDV07,OUT049,111.1228
59,FDT20,OUT049,39.2164
60,FDC44,OUT049,111.9518
61,DRM59,OUT049,153.8998
62,DRG23,OUT049,153.3682
63,NCJ29,OUT049,84.7224
64,NCM42,OUT049,110.0912
65,NCY42,OUT049,144.947
66,NCX54,OUT049,107.7622
67,NCI06,OUT049,180.766
68,NCQ02,OUT049,186.9556
69,NCR38,OUT049,253.4724
70,NCM30,OUT049,41.9796
71,FDK43,OUT049,126.302
72,FDK21,OUT049,249.6408
73,FDR45,OUT049,239.2222
74,FDV09,OUT049,147.5734
75,FDU12,OUT049,261.7568
76,FDZ47,OUT049,99.8042
77,FDO11,OUT049,247.4092
78,FDU49,OUT049,85.554
79,FDA02,OUT049,145.4786
80,FDV26,OUT049,194.2794
81,FDA04,OUT049,257.2962
82,FDO52,OUT049,172.4106
83,FDA40,OUT049,87.0856
84,FDS27,OUT049,197.111
85,FDU15,OUT049,37.9532
86,FDV33,OUT049,259.2304
